userid,date,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q100,age,gender
5f6cc883f910e5d0fb23e2ad72377f09,2009-11-29,5,1,3,2,4,4,3,2,3,4,5,4,2,2,4,5,3,1,3,1,1,28.99,1
5e21c5d8b30f9347a63854df4229ec95,2010-01-17,4,2,4,3,3,2,2,5,1,5,1,5,4,3,4,5,3,2,3,4,2,26.99,0
648f27f6fb1776b669632c676d6a03e2,2010-02-01,4,3,2,5,4,3,3,5,1,1,4,3,2,3,4,3,2,4,3,2,1,25.16,1
f9fee6802c54c3dd9bfa83bc9d244dfc,2011-09-07,4,2,3,2,3,4,1,4,2,4,4,1,2,3,3,3,4,2,4,4,1,24.73,0
713a011bc26430a0a8f7936bacc2bb8c,2010-01-20,4,2,3,2,4,4,2,4,1,4,4,2,3,2,4,5,2,3,4,4,3,23.22,1
1dc4edd3127df530db40451f54cebdcb,2009-06-01,5,2,3,2,4,5,1,4,2,4,5,2,5,3,4,5,4,2,3,3,1,29.46,0
2efd082886a412fde5d1b5495bb1f1b2,2009-10-04,5,2,4,4,2,4,2,4,3,5,4,2,4,2,3,5,4,2,2,3,3,23.55,0
543fddf28df284d73cf451b425e93c5c,2009-07-15,5,2,5,1,4,4,2,4,2,5,5,1,5,1,4,2,2,1,5,4,1,31.93,0
6f4ae348e4d0270f288808b800d52906,2009-09-04,1,1,5,5,5,5,1,2,1,5,4,3,5,1,4,1,1,1,2,1,5,23.56,1
0f156c1657afdd3384784ae6f6ef0d85,2010-06-07,5,3,4,2,4,4,2,4,2,5,4,2,3,2,3,4,2,1,5,3,1,25.37,0
3eb4ef12817ba96fa546975bdfeba719,2010-01-22,5,2,3,2,2,4,1,4,1,4,3,3,4,4,2,4,4,3,4,4,2,30.03,1
6e41c7e50b99f6a9637cfb92ab80214f,2010-01-27,5,3,4,2,5,4,3,3,1,5,5,3,5,2,4,5,2,2,3,2,3,24.74,0
1d3ba36e1f20f15eb764f80b15f2a769,2009-12-24,5,1,5,3,4,4,2,1,1,5,4,1,4,3,3,5,2,2,4,1,1,45.72,0
97b94dc67462975e4f19154d7d1b016f,2009-07-28,4,5,3,5,3,1,2,4,4,2,4,1,3,3,3,5,1,3,3,3,5,24.09,0
5f0003067f5408ab0d727ca4cb942b95,2011-08-18,5,5,4,1,5,2,1,2,3,4,2,4,2,4,1,5,4,2,1,1,1,21.24,0
55b36c224f6e1ccecf74a834dd8c6a1c,2009-11-10,4,2,4,2,4,4,3,2,1,4,4,2,4,3,4,4,2,2,4,2,3,26.73,1
ff48a2ebafb2d88db2eea2348b22f634,2009-03-19,5,3,5,2,4,4,3,4,2,4,5,2,4,2,4,5,2,2,3,3,1,23.83,0
30076e68efc1d1701d53f3d459883d04,2009-07-14,5,2,4,1,4,4,3,4,3,4,4,4,2,2,4,4,4,1,4,3,1,25.69,1
3147b2fcaed35c4b509394225322247b,2010-02-16,5,5,4,1,3,2,1,4,4,4,2,4,3,3,1,4,3,3,2,4,4,37.91,0
291498ad2ea14f1faf2f2c06a1fc0372,2009-10-21,5,3,4,4,5,4,1,1,1,5,5,1,2,1,3,4,2,1,3,2,1,24.76,1
abeb92586b66686355ee8f18f86055c5,2009-11-03,4,4,4,1,2,4,1,5,4,4,3,4,3,3,2,5,4,2,2,4,4,22.79,1
f62162ff9e51969abc4244866016cbed,2009-08-18,4,3,5,1,4,3,3,2,3,5,5,2,1,1,3,4,4,1,1,2,1,25.73,1
f305982d1c7b5ab937e831c82aa8dce8,2009-10-27,5,2,4,1,4,3,1,5,1,2,2,4,2,3,3,5,5,2,1,3,5,23.42,1
448c5953f38ee6db49f8c97024e1cedd,2010-10-11,5,4,4,1,5,2,1,1,2,2,4,3,3,3,4,5,1,4,3,2,1,28.03,0
5a2d54ec986e7c05c98819560a577d6a,2011-02-17,5,5,5,3,4,1,2,1,5,5,5,2,4,1,5,4,5,1,2,3,5,29.19,1
90fa48b899c5217cafe71b3634434b6a,2010-06-05,5,3,3,1,4,2,1,3,3,4,4,3,2,2,3,5,2,2,3,3,3,27.13,0
cf7565c35dcf6a0fe16fc28bb5d87a31,2010-02-26,5,2,4,1,4,5,2,4,1,4,4,5,5,4,2,5,3,1,3,2,4,27.08,1
1cc10833f7624905313419dd06023273,2009-07-08,5,4,4,3,2,2,1,4,4,1,2,5,2,3,2,5,5,4,1,5,5,22.43,0
e68cceb58d07892c3fb884bd708f7561,2009-11-29,4,4,2,4,5,3,4,3,2,4,4,2,4,4,4,5,3,3,2,2,2,26.01,1
a8e540619c34e5b843e6484b2f9705af,2009-10-30,4,1,2,1,5,4,1,4,1,5,4,1,4,5,2,5,1,1,5,1,3,28.83,0
ea115c4b4be221369e03889a72120333,2010-08-06,3,1,4,1,4,4,1,3,1,4,4,1,4,4,3,4,4,3,4,2,3,20.8,1
b3a68cb61cb7cd022794c6a290322ab5,2010-06-30,3,1,3,2,4,4,2,2,1,4,5,1,5,2,4,5,1,1,5,2,1,21.25,1
88f078902339b5c83c0071ae5a5b9d97,2009-01-23,2,1,1,2,5,5,1,1,1,3,4,1,4,4,4,3,1,2,5,1,1,27.06,0
94bf35d2738ec8a2048938033e2fb308,2010-03-18,5,2,3,2,2,4,1,5,3,4,4,1,3,2,2,5,5,4,5,5,4,22.08,1
aa6b5f151980121b0f82d9b8840a5366,2010-03-09,5,4,3,1,4,4,1,1,3,4,3,5,3,1,4,5,5,4,1,3,5,22.14,1
f192bcccf03f554e2f942f47038c80f8,2009-11-18,5,3,2,1,4,4,1,4,2,3,3,5,4,5,3,5,3,4,4,2,2,33.2,1
b86a4dc6304582e2ef964cd9f458f413,2009-07-09,5,3,4,2,4,3,2,4,3,4,4,4,2,3,2,5,5,1,2,3,4,25.96,0
07e10fe5a0f8472c906b794e1dd77520,2009-07-10,4,4,2,2,4,2,1,4,4,2,1,4,5,4,4,4,4,4,1,2,5,21.66,1
553e0446af5a0b89b0d5e6439535ca4d,2009-11-10,5,1,4,3,5,5,2,4,1,5,5,1,5,4,5,2,1,1,5,1,1,35.75,0
8b2ebecbe36ab8abc579337e8508373c,2009-09-18,5,2,4,3,4,2,1,4,2,4,4,2,1,4,5,5,2,1,5,4,2,25.68,0
12e699008de69f1551cbd58ca36e0cfd,2009-08-19,5,2,5,3,5,4,1,1,1,4,5,2,3,2,5,3,2,1,3,1,2,24.51,0
7b92c8c526ff1cc6d5444fcf612293b0,2009-07-02,3,5,3,4,5,2,2,1,4,3,4,3,2,2,4,3,4,2,2,2,2,29.57,1
a8555741f29a2dbffea7cc686894756e,2009-04-10,3,2,3,4,5,3,2,2,1,5,3,4,4,2,4,4,4,2,3,2,2,27.09,1
71f1d96f8ed59d0293f4b7d43752a29a,2010-05-03,5,2,4,5,5,4,1,4,1,4,5,1,5,2,3,4,4,1,4,2,2,25.2,1
5426b4feddab39cf3becf6e004eb4392,2009-04-08,5,4,5,1,3,4,1,3,3,5,5,1,3,1,3,5,2,1,2,3,1,28.28,1
1c97961e873772a91dedad8e951ca16e,2010-03-11,2,1,4,3,5,4,1,4,1,1,1,5,4,4,4,5,2,5,3,2,2,32.21,0
a8784e271c5d581157c9d1ed13232945,2009-11-29,4,2,2,2,4,3,2,3,1,2,4,2,4,2,3,3,2,2,4,3,1,27.2,0
269476749f5167366de4a847905d141e,2011-07-25,4,2,4,2,5,4,2,3,1,4,4,3,3,4,4,4,3,1,2,1,2,28.37,1
7f7636dad949263bd4869fcf3647e831,2009-08-24,4,4,5,2,4,5,5,2,4,3,2,4,3,1,1,3,4,1,1,1,4,27.25,1
08dbe83a815b1f08a5d9362e83af098f,2010-03-29,3,2,2,4,5,4,3,4,2,2,4,4,4,3,1,2,1,4,5,3,1,19.74,0
b6832aa604c1a331671dad3b8c91932c,2009-11-19,5,1,2,2,5,5,1,2,1,5,4,3,4,3,4,4,2,2,4,2,2,34.94,1
5ca7e7b9317a1e3d33cddd2e32861c92,2010-01-19,1,1,4,2,4,5,2,1,1,5,5,1,5,4,2,1,1,1,1,1,1,25.16,0
c5b708d63e1c554390322887a87e9e0a,2010-07-06,5,4,4,2,4,4,2,4,2,3,4,3,4,4,2,5,5,4,2,4,4,30.42,0
284a69e1c3fa5cfa441ed1c23205641d,2010-01-31,5,1,2,1,4,4,1,2,1,4,3,4,5,5,4,5,4,4,4,3,4,21.68,1
18aea7fef9c48a60a5bc4f9ecb0244fe,2010-08-05,5,3,5,5,4,4,3,2,3,5,3,2,4,2,3,3,3,1,3,2,1,21.74,1
6839b65cf85410622d01d9ad057611f3,2010-06-28,1,5,2,3,5,3,4,1,1,3,4,3,3,3,4,2,5,3,5,4,2,47.35,1
2abc901ce58de6c3260676235d179529,2009-05-28,5,3,1,2,3,4,1,5,3,3,4,3,4,4,3,5,4,2,3,3,1,25.38,0
8e08f3be77194b759af8bf16c9d06efc,2009-10-04,5,1,3,4,5,4,2,3,1,5,4,1,5,3,2,4,1,1,5,1,1,27.53,0
7178e72f41729bfd9b72a667acd343ad,2009-11-19,5,3,1,1,2,2,3,4,4,1,5,3,3,5,3,1,4,4,3,3,3,21.79,1
5bc97995be587db2b88c55026d3c998c,2010-01-07,5,2,3,1,5,4,1,2,1,5,5,2,5,2,4,5,4,2,4,2,2,23.98,0
9aa75affe01f460a5682e666b9eaba82,2010-01-03,5,4,4,1,3,4,3,3,3,4,5,3,4,2,2,4,4,1,3,2,1,23.63,1
855e2e8b6bdb085820b9ec29589b3491,2010-02-06,5,3,3,1,4,4,1,4,5,1,2,5,4,4,3,5,3,3,4,3,4,22.73,0
1e7e3620ccd788b411b3ea2c48f81df5,2010-08-13,4,4,3,3,3,3,2,5,4,3,2,5,2,2,2,5,4,3,3,3,5,19.17,1
62482b9af5fff27c51feda5f2a814d2b,2009-04-05,5,2,2,1,2,1,1,4,1,4,4,4,3,4,2,5,2,3,4,5,4,23.14,0
5de94d95aedaa066416e117639a6184f,2009-12-17,3,1,3,5,5,5,3,1,1,5,5,1,5,3,3,3,1,1,5,1,1,25.84,1
d163ae4099a39b4d1281ed2824ca6e45,2010-07-02,2,1,2,5,4,3,5,4,1,2,3,2,4,5,2,2,2,4,4,2,3,42.54,0
ca136ee2ee21062a76e68b62856a7491,2009-03-16,4,1,2,2,4,4,3,5,1,3,4,4,2,2,2,4,1,2,4,3,1,31.17,0
1786e4f025c2066ab82fa90cb6b57376,2009-08-12,5,5,2,4,4,1,3,4,5,1,2,5,1,5,2,5,5,5,1,3,5,27.2,1
14061efd8a996256a41330635879d60d,2009-12-07,5,4,4,2,3,3,3,4,4,2,2,3,2,3,2,3,4,4,2,4,2,21.83,1
8452c123803ebec8afefe41174d0f3ed,2010-11-16,1,2,4,1,4,4,1,4,2,2,3,2,4,4,3,5,4,4,3,3,3,26,1
23cd4828c415e53fd42ef01b199c851c,2010-10-27,5,3,2,1,2,4,1,4,2,2,2,4,2,5,3,5,4,2,2,3,1,28.4,1
64a8fbb3aac8c72253947cf0b5074aca,2009-06-26,5,4,5,4,4,3,5,4,2,5,4,2,4,1,4,5,4,1,3,4,4,23.39,0
08a52100c5aaebef5fa9e74d0b120ed3,2009-03-30,5,3,2,2,3,2,1,5,2,3,2,5,2,4,2,5,5,4,1,3,2,35.27,1
9adbe318d8ff4ba338e27bf0a06856d9,2009-12-19,4,2,2,2,3,4,3,4,1,3,3,3,3,4,5,3,2,2,3,2,2,30.28,0
f6a2bb5eca40149b49ac05cb2b30b55d,2010-07-03,5,4,5,1,4,4,1,2,4,4,3,1,5,3,2,5,2,1,4,3,1,32.52,0
a31f3a68ee3847bfbe4835b7f7c882cb,2009-12-16,5,3,4,1,4,2,1,2,2,5,1,5,2,2,2,5,5,1,3,1,5,21.63,1
2bff97ef5e33f50e69fa44d0b43304da,2009-09-07,4,2,5,2,4,5,2,4,1,5,5,3,3,1,3,4,4,1,3,3,4,25.47,1
dd66d0d495076c0cf671f2701f75420a,2009-05-17,3,1,4,1,4,4,3,4,1,5,4,2,4,4,3,3,4,2,4,4,3,21.77,0
19b4e98b7ec91ad354fd7e0d8101e4a5,2009-10-02,4,3,4,5,4,2,1,5,2,5,4,2,1,2,2,5,4,1,1,4,5,21.99,0
001647ef5b1c78f2b38e49f228493db5,2010-07-15,5,3,5,1,4,4,1,4,3,4,4,3,4,2,2,5,2,2,3,3,4,22.94,1
0130921f3241461cadaeaca8db4cd883,2009-03-24,3,3,1,3,3,2,3,2,2,1,3,2,4,2,3,2,1,3,2,3,2,23.71,0
f94b3a6572644faf246242c859cead25,2010-03-27,4,2,3,5,2,4,4,4,2,4,4,3,4,3,3,5,3,2,4,3,3,20.99,1
9872fa4aa9623d8c590b8ac398e93f8f,2010-01-07,5,3,4,3,4,4,2,5,2,4,5,1,4,2,3,5,2,1,4,3,1,24.11,0
3aaf116878a044eb7cdbe722155cc7ee,2009-11-19,4,3,4,1,3,4,2,3,3,4,3,2,3,2,3,4,3,2,2,3,2,21.4,1
507e5d92d392deb2d9257bdb59a8e773,2009-09-15,5,4,3,4,2,4,1,5,2,4,4,4,3,3,2,5,5,4,2,4,3,25.55,0
cfa909b49965e3e223af1e46dbafe4d8,2009-08-29,5,2,3,2,4,4,4,2,1,4,4,5,5,4,4,5,2,2,5,2,4,43.05,0
08ebe22157edfdd780b98729878ec933,2010-08-02,4,4,4,4,4,3,1,4,5,4,4,2,4,4,3,5,2,4,5,2,1,25.6,0
0b6d8d36f8bc7b65fbbfd1a793ebaa33,2009-12-06,4,4,5,3,4,3,2,4,3,5,3,1,4,2,2,4,4,1,4,3,2,28.21,1
6859b97c513215750c6cc448053f7fd3,2011-05-25,5,4,2,2,5,4,2,2,4,1,1,4,4,4,4,5,4,2,1,2,4,21.68,1
9cea0815f1248fa08b6342e555007d10,2009-05-26,5,4,4,2,3,4,2,4,2,4,3,1,2,3,2,5,2,3,3,2,1,30.04,1
923de01689d21c2a3e2fa83ee2cfeb9d,2009-10-17,4,1,4,4,4,4,1,2,1,5,4,2,5,4,4,4,3,1,4,2,4,24.06,1
00f19c1e2c002e27cd35cf5d89290bc2,2009-04-05,3,2,1,2,4,4,3,3,3,4,1,2,4,3,3,3,3,4,1,1,4,23.21,1
8b6bfe3d08048a68f2b52d9cffc69a69,2010-10-12,5,3,4,2,4,3,3,3,3,5,4,4,3,3,3,4,3,2,3,3,4,25.16,1
53472f49e21c6eec38f128ac0f75a017,2009-11-12,4,4,3,2,4,2,2,4,4,2,3,4,2,2,3,4,4,4,2,3,4,51.65,0
8e91743cd3deb2ae3a6cffc695d77a21,2009-10-26,4,3,5,1,4,4,3,3,4,5,4,2,2,1,2,5,3,1,3,3,2,27.06,0
eb5a09fd3e6fafebdc88c4229e1f8d1c,2009-11-29,4,4,3,2,5,1,3,2,5,5,3,3,4,1,3,1,5,1,2,3,1,28.55,1
8495ef1790d5d54828cf32d7dad56ea7,2009-05-25,4,1,2,4,5,3,3,4,1,5,1,3,4,3,2,2,2,1,3,4,3,27.97,0
47a5d3a19fb15dbceef3dc930df9ade6,2009-06-23,3,4,4,4,4,3,5,4,4,4,3,1,2,3,4,3,3,4,2,3,2,25.75,1
e90b12ceb1f6b85fd4f4caf6ae19c9f3,2009-09-17,5,2,4,4,4,5,5,3,4,4,4,2,2,2,5,4,4,4,1,3,5,32.59,1
78267749f2b34c026eb3168e30580050,2010-01-07,5,2,1,3,4,4,2,2,1,1,1,4,2,5,3,4,4,4,4,1,5,25.18,0
968cfdedb54ee7ddeb96ef5df3151183,2009-08-09,4,2,2,2,5,5,1,4,1,4,4,3,4,2,4,3,2,1,3,5,1,69.83,1
ffc7518bc918a4a756c1899fa1a4634f,2009-09-22,5,1,4,1,4,5,1,4,2,5,4,4,5,2,4,4,2,4,4,1,1,39.28,1
9e81a6b45422a5f44026ba31f499be00,2011-04-22,4,4,1,4,3,1,1,4,5,1,5,1,4,5,4,5,2,5,4,3,1,22.93,0
3f5e9f0de0230ef19e042ab6f6ad86ae,2009-07-24,3,1,1,3,4,4,1,2,1,4,5,3,5,4,3,1,1,2,5,3,2,29.22,0
3d7ee51a731ad17c07a81cf713e9becb,2010-07-01,4,4,4,3,4,4,3,4,2,4,4,3,4,3,2,4,4,2,3,2,3,50.19,1
849a47e2efd5430c09f4e7aedf9ff6cd,2010-07-29,4,4,2,2,4,5,1,2,3,4,5,4,3,5,4,5,5,2,3,2,5,19.28,1
79a8195184b6e2c649d013c257fb0abc,2011-09-21,1,1,5,4,4,5,1,4,1,1,1,4,5,5,1,5,3,5,3,3,5,29.56,1
70029eb727f3b13026153bb9b814142f,2009-08-04,5,2,4,2,3,4,3,4,2,4,5,2,5,3,3,3,3,4,2,2,4,26.41,1
85bc27a0e6887f5521a2956d8c7d36ea,2010-06-06,5,2,2,2,5,5,2,2,1,3,5,1,4,4,3,4,4,4,3,1,1,52.88,1
ec9c48588fdd4972dcfc8420d3a794c1,2010-03-18,5,2,5,2,4,4,1,3,4,5,5,2,2,2,4,1,4,1,3,4,1,24.32,1
60b4d4a066f39d4eb995d470c3f6c3a3,2009-03-02,5,2,5,3,5,5,1,4,4,5,5,1,4,3,4,5,1,1,5,3,2,27.97,0
7accd5028f32f0e1abb69b6690f08bdc,2009-07-14,5,1,3,1,5,4,3,1,1,3,4,2,3,3,4,4,1,1,3,1,1,20.9,1
673a2b6ef46b67cef030b4305266e453,2009-11-03,2,1,1,2,2,3,5,2,1,3,2,5,1,5,2,2,5,5,1,5,4,25.29,0
0c9ac9e5e8014e2a1667d1bf081729e0,2009-08-01,5,2,4,1,5,4,1,2,2,3,4,1,5,4,3,5,1,3,3,1,1,23.72,1
2bcf57f1e3c5096d4d4e2067607d64ad,2009-08-24,4,2,3,2,2,3,2,4,4,3,2,1,3,3,2,4,2,3,2,4,4,23.62,0
af45759f6b44ffc1a647c89c090aeb67,2009-03-27,4,2,3,1,5,5,2,3,4,5,5,3,5,1,5,3,3,1,4,1,1,39.81,1
83379a9eeaf5e91d8ce04077c53a9369,2009-12-15,2,2,2,3,2,3,2,4,5,5,3,3,4,2,3,3,3,2,5,4,3,21.52,1
5839e213f1132e74ece50742fafd496d,2010-08-07,2,2,2,5,3,3,5,4,2,5,3,3,5,2,4,4,4,3,4,4,2,40.52,1
ef14a6768dc110cf51bc3f6c7fe048a5,2010-03-30,5,3,5,4,4,5,4,2,1,5,5,2,3,2,4,5,2,1,5,3,2,21.36,0
39e537529f3cc363e432a49d8f08a605,2009-02-02,4,4,2,3,2,1,1,5,3,2,2,5,3,5,2,5,3,4,3,4,3,35.75,0
4ff9c42a6a20d266431bd7d9e0c78d9c,2011-04-08,5,2,3,1,3,4,4,5,1,3,3,5,4,4,2,2,5,4,2,3,3,23.68,0
9df4e54dc42ae92bbc701ef2e819d58e,2009-04-20,4,1,4,1,4,4,1,2,1,4,4,2,4,3,4,4,2,1,4,2,2,23.55,0
f40490e4e9a09ecbc873673c5ff2b849,2010-07-31,5,4,4,2,5,4,2,3,1,4,3,2,4,4,5,5,4,3,4,4,2,24.64,0
a02f615530c7fec8584067f0a7fa9307,2010-11-04,5,4,3,3,4,4,1,2,2,4,5,2,5,3,3,5,3,4,1,2,1,20.27,0
268c9148cd4b76db049b254877dbc82f,2009-12-31,4,1,4,2,4,4,1,4,2,3,4,3,4,4,3,4,3,3,4,2,3,36.12,1
a479e8ae9b6b5db2ce5552d12f3bbd51,2009-01-23,5,1,4,4,4,4,2,5,1,5,5,1,5,3,5,5,2,1,5,3,1,24.62,0
b306ac0a8fa9126c325d0351c20bb865,2009-02-23,5,3,4,3,3,4,1,4,2,5,2,4,4,4,3,4,3,3,3,2,3,28.8,0
a952bcdfd19139f217bf825bc30e56f1,2010-04-23,4,4,3,3,5,3,1,1,2,3,4,4,2,2,4,5,3,1,1,1,1,24.26,1
0d27921add6d2eae8b9651de2bbf900e,2009-04-13,4,1,5,2,5,4,2,2,2,4,5,1,5,2,4,4,1,2,5,2,2,34.85,0
d5bd4937645af6d76ea39242e9d8d9e9,2011-03-27,4,4,2,3,4,4,3,2,5,3,4,3,3,4,3,3,3,3,2,2,3,36.63,0
e12ed59fe22cc36dab07121f52f0debc,2010-07-26,4,1,5,3,4,4,1,1,3,4,3,3,4,1,4,5,3,1,2,1,4,23.66,1
f442cb9adeef575d5894ed7d0ef031e8,2010-09-29,4,3,3,1,4,4,2,3,3,3,4,2,4,4,4,4,3,3,4,3,2,28.92,1
9566f76580fa4b326e90f7a1a828f5a9,2010-06-01,5,2,2,1,4,5,1,2,1,4,4,1,5,3,5,5,2,4,4,1,4,29.56,1
ce36f41a3a341bf6fb69c6fb1827a572,2009-07-19,1,1,5,1,5,3,2,3,3,2,2,2,5,4,4,4,5,4,1,4,5,37.23,1
9fd1ebb5d601401e04767fdc37b3c58f,2009-07-19,4,5,3,3,4,4,3,2,4,5,4,2,4,3,1,5,4,1,3,2,1,22.44,0
53290e8ef0fc5ebb59b9c3f86310b766,2010-01-15,5,2,3,2,3,4,2,4,2,4,2,3,4,4,2,4,2,4,4,3,3,25.53,1
0e39a3f4b862931ee63b21ca0a8c341b,2010-08-20,4,2,4,3,4,5,2,2,1,4,5,2,3,2,3,3,2,1,4,2,1,25.63,0
3d9f278b7532d9e250073d10186947b1,2010-01-10,4,5,4,1,3,2,1,4,5,4,4,5,5,4,2,5,4,2,2,4,1,23.41,0
e47de0f0a096084cdb81b5f96a7c3901,2010-01-27,5,5,4,4,2,3,2,5,5,3,4,5,5,1,2,5,5,2,1,2,1,22.55,1
410b79f272f4341c21fc25969ab092e8,2010-10-21,5,5,3,1,4,3,1,5,3,2,2,5,3,4,3,4,4,3,2,4,4,39.97,1
69e22e2b26c7b21aad1ef6f376cb025d,2009-10-17,4,2,4,4,4,3,5,3,2,5,4,2,5,2,2,2,1,4,5,3,1,29.83,0
59afd1cb86f4b1568fa0ebcd68b36b43,2009-05-27,4,2,3,2,4,3,5,2,1,5,5,2,3,3,4,1,2,1,5,3,3,25.47,1
f34d96dfc24bc1375d14df208a8cb570,2009-09-24,4,1,3,5,4,4,1,1,1,2,5,1,3,4,4,4,4,3,5,1,1,31.23,0
ed6887dc1c28ab1d4fb119a491c7f5b3,2009-03-06,4,2,4,3,4,2,1,3,3,4,1,3,3,3,2,4,4,4,2,1,2,25.54,0
ba115aa75a2906e5061f2bc397e02b7a,2009-02-28,5,4,2,2,3,4,3,5,1,4,1,3,4,4,2,5,5,2,2,4,5,26.09,0
6e5289634dbd01a87bffefeb296c47fd,2011-07-28,4,2,5,5,3,5,4,4,1,5,5,3,5,3,2,5,3,2,4,3,1,26.8,1
018ca3346ad17a8ac2d5b2f81a8d4dfb,2010-07-24,5,1,5,1,3,5,1,2,1,5,4,3,3,1,3,3,2,1,5,2,1,21.02,1
3dec0639aaa2a953225a9b18f5b9dbe9,2009-12-14,4,2,3,2,5,4,2,5,4,4,4,4,2,4,3,4,4,5,2,4,4,32.72,1
688b594e178661ec04d4938397faca2a,2009-10-21,4,4,3,2,3,3,1,3,2,3,3,4,2,3,3,4,4,2,2,3,3,22.24,1
